Smiles,Name,Names,InChi
N[C@@H]([C@]12CC[C@H](CC1)O2)C(=O)O,DFH,DFH,"InChI=1S/C8H13NO3/c9-6(7(10)11)8-3-1-5(12-8)2-4-8/h5-6H,1-4,9H2,(H,10,11)/t5-,6-,8+/m1/s1"
N[C@@H](c1c(CNC)n(c2c1c(Br)c(OC)cc2)C)C(=O)O,7EO,7EO,"InChI=1S/C14H18BrN3O3/c1-17-6-8-11(13(16)14(19)20)10-7(18(8)2)4-5-9(21-3)12(10)15/h4-5,13,17H,6,16H2,1-3H3,(H,19,20)/t13-/m0/s1"
N[C@@H](c1c([nH]c2ccc(OC)c(c12)Br)CN(C)C)C(=O)O,LYH,LYH,"InChI=1S/C14H18BrN3O3/c1-18(2)6-8-11(13(16)14(19)20)10-7(17-8)4-5-9(21-3)12(10)15/h4-5,13,17H,6,16H2,1-3H3,(H,19,20)/t13-/m0/s1"
N[C@@H]([C@H]1Cc2c(n(C)c(=O)n(c2=O)C)NC1=O)C(=O)O,53B,53B,"InChI=1S/C11H14N4O5/c1-14-7-5(9(17)15(2)11(14)20)3-4(8(16)13-7)6(12)10(18)19/h4,6H,3,12H2,1-2H3,(H,13,16)(H,18,19)/t4-,6+/m1/s1"
N[C@@H](c1cc(Cl)ccc1n1cc(C(F)(F)F)nn1)C(=O)O,QGA,QGA,"InChI=1S/C11H8ClF3N4O2/c12-5-1-2-7(6(3-5)9(16)10(20)21)19-4-8(17-18-19)11(13,14)15/h1-4,9H,16H2,(H,20,21)/t9-/m0/s1"
N[C@@H](C[C@]12C[C@H](CN1S(=O)(=O)c1ccoc1)C2)C(=O)O,QU9,QU9,"InChI=1S/C12H16N2O5S/c13-10(11(15)16)5-12-3-8(4-12)6-14(12)20(17,18)9-1-2-19-7-9/h1-2,7-8,10H,3-6,13H2,(H,15,16)/t8-,10-,12+/m0/s1"
N[C@@H](c1scc(C(=O)OC)c1Cl)C(=O)O,N7W,N7W,"InChI=1S/C8H8ClNO4S/c1-14-8(13)3-2-15-6(4(3)9)5(10)7(11)12/h2,5H,10H2,1H3,(H,11,12)/t5-/m0/s1"
N[C@@H](CCS(=O)(=O)N1CCc2ccc(Br)cc12)C(=O)O,PJ3,PJ3,"InChI=1S/C12H15BrN2O4S/c13-9-2-1-8-3-5-15(11(8)7-9)20(18,19)6-4-10(14)12(16)17/h1-2,7,10H,3-6,14H2,(H,16,17)/t10-/m0/s1"
N[C@@H](c1c2c(C)cccc2n(c1)CC(=O)N)C(=O)O,IT3,IT3,"InChI=1S/C13H15N3O3/c1-7-3-2-4-9-11(7)8(12(15)13(18)19)5-16(9)6-10(14)17/h2-5,12H,6,15H2,1H3,(H2,14,17)(H,18,19)/t12-/m0/s1"
N[C@@H](CCS(=O)(=O)N1CCC[C@@H](n2ccnn2)C1)C(=O)O,Q65,Q65,"InChI=1S/C11H19N5O4S/c12-10(11(17)18)3-7-21(19,20)15-5-1-2-9(8-15)16-6-4-13-14-16/h4,6,9-10H,1-3,5,7-8,12H2,(H,17,18)/t9-,10+/m1/s1"
N[C@@H](CCC(=O)n1ccc2ccccc12)C(=O)O,DE6,DE6,"InChI=1S/C13H14N2O3/c14-10(13(17)18)5-6-12(16)15-8-7-9-3-1-2-4-11(9)15/h1-4,7-8,10H,5-6,14H2,(H,17,18)/t10-/m0/s1"
N[C@@H](c1cc2nc(C)sc2cc1F)C(=O)O,2CE,2CE,"InChI=1S/C10H9FN2O2S/c1-4-13-7-2-5(9(12)10(14)15)6(11)3-8(7)16-4/h2-3,9H,12H2,1H3,(H,14,15)/t9-/m0/s1"
N[C@@H](c1cnn2c1C(=O)NCC2)C(=O)O,9LX,9LX,"InChI=1S/C8H10N4O3/c9-5(8(14)15)4-3-11-12-2-1-10-7(13)6(4)12/h3,5H,1-2,9H2,(H,10,13)(H,14,15)/t5-/m0/s1"
N[C@@H](CCc1nnc(N)s1)C(=O)O,MXR,MXR,"InChI=1S/C6H10N4O2S/c7-3(5(11)12)1-2-4-9-10-6(8)13-4/h3H,1-2,7H2,(H2,8,10)(H,11,12)/t3-/m0/s1"
N[C@@H](CCS(=O)(=O)N1CCC(c2ccsc2)CC1)C(=O)O,FIW,FIW,"InChI=1S/C13H20N2O4S2/c14-12(13(16)17)4-8-21(18,19)15-5-1-10(2-6-15)11-3-7-20-9-11/h3,7,9-10,12H,1-2,4-6,8,14H2,(H,16,17)/t12-/m0/s1"
N[C@@H](c1c2cc(OC)c(cc2[nH]c1C)C(F)(F)F)C(=O)O,YQS,YQS,"InChI=1S/C13H13F3N2O3/c1-5-10(11(17)12(19)20)6-3-9(21-2)7(13(14,15)16)4-8(6)18-5/h3-4,11,18H,17H2,1-2H3,(H,19,20)/t11-/m0/s1"
N[C@@H](CCC(=O)Nc1n[nH]c2cc(F)ccc12)C(=O)O,4YU,4YU,"InChI=1S/C12H13FN4O3/c13-6-1-2-7-9(5-6)16-17-11(7)15-10(18)4-3-8(14)12(19)20/h1-2,5,8H,3-4,14H2,(H,19,20)(H2,15,16,17,18)/t8-/m0/s1"
N[C@@H](Cc1c(C)oc2ccc(Cl)cc2c1=O)C(=O)O,0Z5,0Z5,"InChI=1S/C13H12ClNO4/c1-6-8(5-10(15)13(17)18)12(16)9-4-7(14)2-3-11(9)19-6/h2-4,10H,5,15H2,1H3,(H,17,18)/t10-/m0/s1"
N[C@@H](C1=NOC2(CCC2)C1)C(=O)O,CLG,CLG,"InChI=1S/C8H12N2O3/c9-6(7(11)12)5-4-8(13-10-5)2-1-3-8/h6H,1-4,9H2,(H,11,12)/t6-/m0/s1"
N[C@@H](CC[N+]12CCC(CC1)CC2)C(=O)O,V24,V24,"InChI=1S/C11H20N2O2/c12-10(11(14)15)4-8-13-5-1-9(2-6-13)3-7-13/h9-10H,1-8,12H2/p+1/t9?,10-,13?/m0/s1"
N[C@@H](c1cccc(S(=O)(=O)N2CC(C)(O)C2)c1)C(=O)O,Z3I,Z3I,"InChI=1S/C12H16N2O5S/c1-12(17)6-14(7-12)20(18,19)9-4-2-3-8(5-9)10(13)11(15)16/h2-5,10,17H,6-7,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H]([C@@]12C[C@H]3C[C@@H]1[C@@H]2C3)C(=O)O,BJZ,BJZ,"InChI=1S/C9H13NO2/c10-7(8(11)12)9-3-4-1-5(9)6(9)2-4/h4-7H,1-3,10H2,(H,11,12)/t4-,5+,6-,7-,9-/m1/s1"
N[C@@H](CC(=O)[C@H]1C[C@@]2(CCOC2)C1)C(=O)O,DL2,DL2,"InChI=1S/C11H17NO4/c12-8(10(14)15)3-9(13)7-4-11(5-7)1-2-16-6-11/h7-8H,1-6,12H2,(H,14,15)/t7-,8-,11-/m0/s1"
N[C@@H](Cc1cnn(c2cccc(Br)c2)n1)C(=O)O,G6H,G6H,"InChI=1S/C11H11BrN4O2/c12-7-2-1-3-9(4-7)16-14-6-8(15-16)5-10(13)11(17)18/h1-4,6,10H,5,13H2,(H,17,18)/t10-/m0/s1"
N[C@@H]([C@H]1N(CCN(C)C1=O)C(=O)OC(C)(C)C)C(=O)O,P1U,P1U,"InChI=1S/C12H21N3O5/c1-12(2,3)20-11(19)15-6-5-14(4)9(16)8(15)7(13)10(17)18/h7-8H,5-6,13H2,1-4H3,(H,17,18)/t7-,8+/m0/s1"
N[C@@H](c1ccc(c2cc(cc(C(=O)N)c2)F)cc1)C(=O)O,8UR,8UR,"InChI=1S/C15H13FN2O3/c16-12-6-10(5-11(7-12)14(18)19)8-1-3-9(4-2-8)13(17)15(20)21/h1-7,13H,17H2,(H2,18,19)(H,20,21)/t13-/m0/s1"
N[C@@H]([C@H]1C[C@@H](C(=O)OC)N(C1)C(=O)OC(C)(C)C)C(=O)O,KME,KME,"InChI=1S/C13H22N2O6/c1-13(2,3)21-12(19)15-6-7(9(14)10(16)17)5-8(15)11(18)20-4/h7-9H,5-6,14H2,1-4H3,(H,16,17)/t7-,8-,9-/m0/s1"
N[C@@H](c1cc(C(=O)O)c2ccccn12)C(=O)O,LDT,LDT,"InChI=1S/C11H10N2O4/c12-9(11(16)17)8-5-6(10(14)15)7-3-1-2-4-13(7)8/h1-5,9H,12H2,(H,14,15)(H,16,17)/t9-/m0/s1"
N[C@@H](C[C@H]1C(C)(C)OCCO1)C(=O)O,2JY,2JY,"InChI=1S/C9H17NO4/c1-9(2)7(13-3-4-14-9)5-6(10)8(11)12/h6-7H,3-5,10H2,1-2H3,(H,11,12)/t6-,7-/m0/s1"
N[C@@H](c1n(C)nc(c2ccccc2)n1)C(=O)O,O41,O41,"InChI=1S/C11H12N4O2/c1-15-10(8(12)11(16)17)13-9(14-15)7-5-3-2-4-6-7/h2-6,8H,12H2,1H3,(H,16,17)/t8-/m0/s1"
N[C@@H](c1c(Cl)cnc(F)c1Cl)C(=O)O,NRV,NRV,"InChI=1S/C7H5Cl2FN2O2/c8-2-1-12-6(10)4(9)3(2)5(11)7(13)14/h1,5H,11H2,(H,13,14)/t5-/m0/s1"
N[C@@H](C[C@H]1CCC[N@@]1Cc1nc2ccccc2o1)C(=O)O,RMW,RMW,"InChI=1S/C15H19N3O3/c16-11(15(19)20)8-10-4-3-7-18(10)9-14-17-12-5-1-2-6-13(12)21-14/h1-2,5-6,10-11H,3-4,7-9,16H2,(H,19,20)/t10-,11+/m1/s1"
N[C@@H]([C@@]1(C(=O)OC(C)(C)C)CCS[C@H](N)C1)C(=O)O,UOW,UOW,"InChI=1S/C12H22N2O4S/c1-11(2,3)18-10(17)12(8(14)9(15)16)4-5-19-7(13)6-12/h7-8H,4-6,13-14H2,1-3H3,(H,15,16)/t7-,8+,12+/m0/s1"
N[C@@H](C[C@@]12[N@](Cc3ccc(C)c(c3)Cl)C[C@@H](C1)C2)C(=O)O,3OF,3OF,"InChI=1S/C16H21ClN2O2/c1-10-2-3-11(4-13(10)17)8-19-9-12-5-16(19,6-12)7-14(18)15(20)21/h2-4,12,14H,5-9,18H2,1H3,(H,20,21)/t12-,14-,16+/m0/s1"
N[C@@H](c1ncn(S(=O)(=O)c2ccc(C)cc2)c1)C(=O)O,F6V,F6V,"InChI=1S/C12H13N3O4S/c1-8-2-4-9(5-3-8)20(18,19)15-6-10(14-7-15)11(13)12(16)17/h2-7,11H,13H2,1H3,(H,16,17)/t11-/m0/s1"
N[C@@H](CNC(=O)C[N@@]1[C@H](C)CCC[C@@H]1C)C(=O)O,68A,68A,"InChI=1S/C12H23N3O3/c1-8-4-3-5-9(2)15(8)7-11(16)14-6-10(13)12(17)18/h8-10H,3-7,13H2,1-2H3,(H,14,16)(H,17,18)/t8-,9+,10-/m0/s1"
N[C@@H]([C@@H]1C[C@H](F)CN1Cc1ccccc1C1CC1)C(=O)O,PYH,PYH,"InChI=1S/C16H21FN2O2/c17-12-7-14(15(18)16(20)21)19(9-12)8-11-3-1-2-4-13(11)10-5-6-10/h1-4,10,12,14-15H,5-9,18H2,(H,20,21)/t12-,14-,15-/m0/s1"
N[C@@H](Cc1c(ccc(O[C@@H](C(=O)OC)C)c1)Cl)C(=O)O,EW6,EW6,"InChI=1S/C13H16ClNO5/c1-7(13(18)19-2)20-9-3-4-10(14)8(5-9)6-11(15)12(16)17/h3-5,7,11H,6,15H2,1-2H3,(H,16,17)/t7-,11+/m1/s1"
N[C@@H]([C@H](Nc1cccc(Cl)c1)C(=O)O)C(=O)O,47C,47C,"InChI=1S/C10H11ClN2O4/c11-5-2-1-3-6(4-5)13-8(10(16)17)7(12)9(14)15/h1-4,7-8,13H,12H2,(H,14,15)(H,16,17)/t7-,8-/m0/s1"
N[C@@H]([C@H]1OCCN(C)C1=O)C(=O)O,K9G,K9G,"InChI=1S/C7H12N2O4/c1-9-2-3-13-5(6(9)10)4(8)7(11)12/h4-5H,2-3,8H2,1H3,(H,11,12)/t4-,5+/m0/s1"
N[C@@H](CC(=C1CCCCC1)F)C(=O)O,I4Q,I4Q,"InChI=1S/C10H16FNO2/c11-8(6-9(12)10(13)14)7-4-2-1-3-5-7/h9H,1-6,12H2,(H,13,14)/t9-/m0/s1"
N[C@@H](c1ccc(S(=O)(=O)N[C@@H](C)c2ncn[nH]2)s1)C(=O)O,SHK,SHK,"InChI=1S/C10H13N5O4S2/c1-5(9-12-4-13-14-9)15-21(18,19)7-3-2-6(20-7)8(11)10(16)17/h2-5,8,15H,11H2,1H3,(H,16,17)(H,12,13,14)/t5-,8-/m0/s1"
N[C@@H](c1c(NC(=O)N)cc(Cl)s1)C(=O)O,H1T,H1T,"InChI=1S/C7H8ClN3O3S/c8-3-1-2(11-7(10)14)5(15-3)4(9)6(12)13/h1,4H,9H2,(H,12,13)(H3,10,11,14)/t4-/m0/s1"
N[C@@H]([C@]12CC[C@H]1CNC2)C(=O)O,MKQ,MKQ,"InChI=1S/C8H14N2O2/c9-6(7(11)12)8-2-1-5(8)3-10-4-8/h5-6,10H,1-4,9H2,(H,11,12)/t5-,6+,8-/m0/s1"
N[C@@H](C1CC2(C1)CC1(CC(F)(F)C1)C2)C(=O)O,UOT,UOT,"InChI=1S/C12H17F2NO2/c13-12(14)5-11(6-12)3-10(4-11)1-7(2-10)8(15)9(16)17/h7-8H,1-6,15H2,(H,16,17)/t8-/m0/s1"
N[C@@H]([C@@]1(c2ccccc2)CCCO1)C(=O)O,YEQ,YEQ,"InChI=1S/C12H15NO3/c13-10(11(14)15)12(7-4-8-16-12)9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8,13H2,(H,14,15)/t10-,12+/m1/s1"
N[C@@H](c1c(CC)c(Br)cnc1)C(=O)O,2V4,2V4,"InChI=1S/C9H11BrN2O2/c1-2-5-6(8(11)9(13)14)3-12-4-7(5)10/h3-4,8H,2,11H2,1H3,(H,13,14)/t8-/m0/s1"
N[C@@H](C([C@@H]1CC(=O)N(C)C1=O)(C)C)C(=O)O,VJP,VJP,"InChI=1S/C10H16N2O4/c1-10(2,7(11)9(15)16)5-4-6(13)12(3)8(5)14/h5,7H,4,11H2,1-3H3,(H,15,16)/t5-,7-/m1/s1"
N[C@@H](c1n2cc(C)sc2nc1c1nonc1C)C(=O)O,F3G,F3G,"InChI=1S/C11H11N5O3S/c1-4-3-16-9(6(12)10(17)18)8(13-11(16)20-4)7-5(2)14-19-15-7/h3,6H,12H2,1-2H3,(H,17,18)/t6-/m0/s1"
N[C@@H](c1occ(Br)c1Br)C(=O)O,X48,X48,"InChI=1S/C6H5Br2NO3/c7-2-1-12-5(3(2)8)4(9)6(10)11/h1,4H,9H2,(H,10,11)/t4-/m0/s1"
N[C@@H]([C@@H](NS(=O)(=O)CC1CCC1)c1nccs1)C(=O)O,BWH,BWH,"InChI=1S/C11H17N3O4S2/c12-8(11(15)16)9(10-13-4-5-19-10)14-20(17,18)6-7-2-1-3-7/h4-5,7-9,14H,1-3,6,12H2,(H,15,16)/t8-,9+/m0/s1"
N[C@@H](c1cc(C(C)(C)C)sc1C(C)(C)C)C(=O)O,9IN,9IN,"InChI=1S/C14H23NO2S/c1-13(2,3)9-7-8(10(15)12(16)17)11(18-9)14(4,5)6/h7,10H,15H2,1-6H3,(H,16,17)/t10-/m0/s1"
N[C@@H](c1c(ccc(C)c1F)OCc1ccccc1)C(=O)O,UP5,UP5,"InChI=1S/C16H16FNO3/c1-10-7-8-12(13(14(10)17)15(18)16(19)20)21-9-11-5-3-2-4-6-11/h2-8,15H,9,18H2,1H3,(H,19,20)/t15-/m0/s1"
N[C@@H](C1(n2nccn2)CC1)C(=O)O,CZR,CZR,"InChI=1S/C7H10N4O2/c8-5(6(12)13)7(1-2-7)11-9-3-4-10-11/h3-5H,1-2,8H2,(H,12,13)/t5-/m1/s1"
N[C@@H](c1cnc2c(c1)COC2)C(=O)O,PLM,PLM,"InChI=1S/C9H10N2O3/c10-8(9(12)13)5-1-6-3-14-4-7(6)11-2-5/h1-2,8H,3-4,10H2,(H,12,13)/t8-/m0/s1"
N[C@@H](CC[C@@H]1C[C@H](OC(C)(C)C)C1)C(=O)O,WNO,WNO,"InChI=1S/C12H23NO3/c1-12(2,3)16-9-6-8(7-9)4-5-10(13)11(14)15/h8-10H,4-7,13H2,1-3H3,(H,14,15)/t8-,9+,10-/m0/s1"
N[C@@H](C#CCO[C@@H]1CCCCO1)C(=O)O,0WF,0WF,"InChI=1S/C10H15NO4/c11-8(10(12)13)4-3-7-15-9-5-1-2-6-14-9/h8-9H,1-2,5-7,11H2,(H,12,13)/t8-,9+/m0/s1"
N[C@@H](c1cnc2c(=O)[nH]ccn12)C(=O)O,O50,O50,"InChI=1S/C8H8N4O3/c9-5(8(14)15)4-3-11-6-7(13)10-1-2-12(4)6/h1-3,5H,9H2,(H,10,13)(H,14,15)/t5-/m0/s1"
N[C@@H](c1nn(C)c2c1CC(CC2)(F)F)C(=O)O,SHQ,SHQ,"InChI=1S/C10H13F2N3O2/c1-15-6-2-3-10(11,12)4-5(6)8(14-15)7(13)9(16)17/h7H,2-4,13H2,1H3,(H,16,17)/t7-/m0/s1"
N[C@@H](c1c(C(C)C)nn(C(C)(C)C)c1O)C(=O)O,29Q,29Q,"InChI=1S/C12H21N3O3/c1-6(2)9-7(8(13)11(17)18)10(16)15(14-9)12(3,4)5/h6,8,16H,13H2,1-5H3,(H,17,18)/t8-/m0/s1"
N[C@@H](CC(=O)Nc1n[nH]c2n(nc(C)c12)C)C(=O)O,9S1,9S1,"InChI=1S/C10H14N6O3/c1-4-7-8(13-14-9(7)16(2)15-4)12-6(17)3-5(11)10(18)19/h5H,3,11H2,1-2H3,(H,18,19)(H2,12,13,14,17)/t5-/m0/s1"
N[C@@H](c1ncn(c2ccc(Br)cc2)c1Cl)C(=O)O,Q3T,Q3T,"InChI=1S/C11H9BrClN3O2/c12-6-1-3-7(4-2-6)16-5-15-9(10(16)13)8(14)11(17)18/h1-5,8H,14H2,(H,17,18)/t8-/m0/s1"
N[C@@H](CC(=O)Nc1c(CC)c(C(F)(F)F)no1)C(=O)O,9E5,9E5,"InChI=1S/C10H12F3N3O4/c1-2-4-7(10(11,12)13)16-20-8(4)15-6(17)3-5(14)9(18)19/h5H,2-3,14H2,1H3,(H,15,17)(H,18,19)/t5-/m0/s1"
N[C@@H](c1ccc(NC(=O)c2cc[nH]c(=O)c2)cc1)C(=O)O,I06,I06,"InChI=1S/C14H13N3O4/c15-12(14(20)21)8-1-3-10(4-2-8)17-13(19)9-5-6-16-11(18)7-9/h1-7,12H,15H2,(H,16,18)(H,17,19)(H,20,21)/t12-/m0/s1"
N[C@@H]([C@@H](NC(=O)c1cnc2ccsc2c1)C1CC1)C(=O)O,SGE,SGE,"InChI=1S/C14H15N3O3S/c15-11(14(19)20)12(7-1-2-7)17-13(18)8-5-10-9(16-6-8)3-4-21-10/h3-7,11-12H,1-2,15H2,(H,17,18)(H,19,20)/t11-,12-/m0/s1"
N[C@@H]([C@H]1c2cccc(OC(C)C)c2CC1)C(=O)O,028,028,"InChI=1S/C14H19NO3/c1-8(2)18-12-5-3-4-9-10(12)6-7-11(9)13(15)14(16)17/h3-5,8,11,13H,6-7,15H2,1-2H3,(H,16,17)/t11-,13+/m1/s1"
N[C@@H](c1c(cc(C)c2c1cc[nH]2)Br)C(=O)O,6KW,6KW,"InChI=1S/C11H11BrN2O2/c1-5-4-7(12)8(9(13)11(15)16)6-2-3-14-10(5)6/h2-4,9,14H,13H2,1H3,(H,15,16)/t9-/m0/s1"
N[C@@H]([C@]12CCC[C@H](CC1)C2)C(=O)O,CH3,CH3,"InChI=1S/C10H17NO2/c11-8(9(12)13)10-4-1-2-7(6-10)3-5-10/h7-8H,1-6,11H2,(H,12,13)/t7-,8-,10-/m1/s1"
N[C@@H](c1cc(cc(NC)c1)C(=O)O)C(=O)O,U38,U38,"InChI=1S/C10H12N2O4/c1-12-7-3-5(8(11)10(15)16)2-6(4-7)9(13)14/h2-4,8,12H,11H2,1H3,(H,13,14)(H,15,16)/t8-/m0/s1"
N[C@@H](c1cc(cc(C#C)c1)C(=O)OC(C)(C)C)C(=O)O,FMS,FMS,"InChI=1S/C15H17NO4/c1-5-9-6-10(12(16)13(17)18)8-11(7-9)14(19)20-15(2,3)4/h1,6-8,12H,16H2,2-4H3,(H,17,18)/t12-/m0/s1"
N[C@@H](C[C@H](N1Cc2c(N)cccc2C1=O)C(=O)O)C(=O)O,B8V,B8V,"InChI=1S/C13H15N3O5/c14-8-3-1-2-6-7(8)5-16(11(6)17)10(13(20)21)4-9(15)12(18)19/h1-3,9-10H,4-5,14-15H2,(H,18,19)(H,20,21)/t9-,10-/m0/s1"
N[C@@H](CNC(=O)c1ccnc(n2cncn2)c1)C(=O)O,2NQ,2NQ,"InChI=1S/C11H12N6O3/c12-8(11(19)20)4-15-10(18)7-1-2-14-9(3-7)17-6-13-5-16-17/h1-3,5-6,8H,4,12H2,(H,15,18)(H,19,20)/t8-/m0/s1"
N[C@@H](c1cccc(OC)c1c1cccnc1)C(=O)O,WZL,WZL,"InChI=1S/C14H14N2O3/c1-19-11-6-2-5-10(13(15)14(17)18)12(11)9-4-3-7-16-8-9/h2-8,13H,15H2,1H3,(H,17,18)/t13-/m0/s1"
N[C@@H](C(C)(C)[C@H](O)c1ccc(Br)nc1)C(=O)O,BY7,BY7,"InChI=1S/C11H15BrN2O3/c1-11(2,8(13)10(16)17)9(15)6-3-4-7(12)14-5-6/h3-5,8-9,15H,13H2,1-2H3,(H,16,17)/t8-,9-/m1/s1"
N[C@@H](c1c(cc(C(C)(F)F)c(c1)Br)F)C(=O)O,OP2,OP2,"InChI=1S/C10H9BrF3NO2/c1-10(13,14)5-3-7(12)4(2-6(5)11)8(15)9(16)17/h2-3,8H,15H2,1H3,(H,16,17)/t8-/m0/s1"
N[C@@H](Cc1ccc(=O)n(c2ccccc2)c1)C(=O)O,9TZ,9TZ,"InChI=1S/C14H14N2O3/c15-12(14(18)19)8-10-6-7-13(17)16(9-10)11-4-2-1-3-5-11/h1-7,9,12H,8,15H2,(H,18,19)/t12-/m0/s1"
N[C@@H](CN(C)Cc1nc(c2cccc(Cl)c2)cs1)C(=O)O,ZYI,ZYI,"InChI=1S/C14H16ClN3O2S/c1-18(6-11(16)14(19)20)7-13-17-12(8-21-13)9-3-2-4-10(15)5-9/h2-5,8,11H,6-7,16H2,1H3,(H,19,20)/t11-/m0/s1"
N[C@@H]([C@@H](C)c1cc2n(n1)CCC2)C(=O)O,0HM,0HM,"InChI=1S/C10H15N3O2/c1-6(9(11)10(14)15)8-5-7-3-2-4-13(7)12-8/h5-6,9H,2-4,11H2,1H3,(H,14,15)/t6-,9-/m0/s1"
N[C@@H](c1nn2c(c1C(=O)O)CCC2)C(=O)O,ZEH,ZEH,"InChI=1S/C9H11N3O4/c10-6(9(15)16)7-5(8(13)14)4-2-1-3-12(4)11-7/h6H,1-3,10H2,(H,13,14)(H,15,16)/t6-/m0/s1"
N[C@@H](CC(=O)c1ncc(O)cn1)C(=O)O,834,834,"InChI=1S/C8H9N3O4/c9-5(8(14)15)1-6(13)7-10-2-4(12)3-11-7/h2-3,5,12H,1,9H2,(H,14,15)/t5-/m0/s1"
N[C@@H]([C@H]1c2cc(C)nn2CC1)C(=O)O,S2G,S2G,"InChI=1S/C9H13N3O2/c1-5-4-7-6(8(10)9(13)14)2-3-12(7)11-5/h4,6,8H,2-3,10H2,1H3,(H,13,14)/t6-,8+/m1/s1"
N[C@@H](c1cc2c(Cl)ccc(F)c2[nH]1)C(=O)O,4B9,4B9,"InChI=1S/C10H8ClFN2O2/c11-5-1-2-6(12)9-4(5)3-7(14-9)8(13)10(15)16/h1-3,8,14H,13H2,(H,15,16)/t8-/m0/s1"
N[C@@H](c1c(COC)c(Br)c2c(N)ncnn12)C(=O)O,YBD,YBD,"InChI=1S/C10H12BrN5O3/c1-19-2-4-5(11)8-9(13)14-3-15-16(8)7(4)6(12)10(17)18/h3,6H,2,12H2,1H3,(H,17,18)(H2,13,14,15)/t6-/m0/s1"
N[C@@H](c1ccc(OC(C)C)nc1N(C)C)C(=O)O,7UN,7UN,"InChI=1S/C12H19N3O3/c1-7(2)18-9-6-5-8(10(13)12(16)17)11(14-9)15(3)4/h5-7,10H,13H2,1-4H3,(H,16,17)/t10-/m0/s1"
N[C@@H]([C@]1(OC)C[C@H]2[C@@H]1CCN2C(=O)OC(C)(C)C)C(=O)O,VZN,VZN,"InChI=1S/C14H24N2O5/c1-13(2,3)21-12(19)16-6-5-8-9(16)7-14(8,20-4)10(15)11(17)18/h8-10H,5-7,15H2,1-4H3,(H,17,18)/t8-,9-,10+,14-/m0/s1"
N[C@@H]([C@@]1(CC[C@H](CCC)CC1)Cc1cccnc1)C(=O)O,UCZ,UCZ,"InChI=1S/C17H26N2O2/c1-2-4-13-6-8-17(9-7-13,15(18)16(20)21)11-14-5-3-10-19-12-14/h3,5,10,12-13,15H,2,4,6-9,11,18H2,1H3,(H,20,21)/t13-,15-,17+/m1/s1"
N[C@@H](Cc1nsc2ncc(Br)cc12)C(=O)O,IBK,IBK,"InChI=1S/C9H8BrN3O2S/c10-4-1-5-7(2-6(11)9(14)15)13-16-8(5)12-3-4/h1,3,6H,2,11H2,(H,14,15)/t6-/m0/s1"
N[C@@H](c1cn2ncc(C(=O)OC(C)(C)C)c2nc1)C(=O)O,KCM,KCM,"InChI=1S/C13H16N4O4/c1-13(2,3)21-12(20)8-5-16-17-6-7(4-15-10(8)17)9(14)11(18)19/h4-6,9H,14H2,1-3H3,(H,18,19)/t9-/m0/s1"
N[C@@H](c1cccc2cc(C(=O)OC)sc12)C(=O)O,1FK,1FK,"InChI=1S/C12H11NO4S/c1-17-12(16)8-5-6-3-2-4-7(10(6)18-8)9(13)11(14)15/h2-5,9H,13H2,1H3,(H,14,15)/t9-/m0/s1"
N[C@@H]([C@](CN(C)C)(C)C(F)(F)F)C(=O)O,JMD,JMD,"InChI=1S/C8H15F3N2O2/c1-7(4-13(2)3,8(9,10)11)5(12)6(14)15/h5H,4,12H2,1-3H3,(H,14,15)/t5-,7-/m1/s1"
N[C@@H](c1ncc(SC)cc1C)C(=O)O,9BI,9BI,"InChI=1S/C9H12N2O2S/c1-5-3-6(14-2)4-11-8(5)7(10)9(12)13/h3-4,7H,10H2,1-2H3,(H,12,13)/t7-/m0/s1"
N[C@@H]([C@]12CO[C@H](C1)C2)C(=O)O,LRD,LRD,"InChI=1S/C7H11NO3/c8-5(6(9)10)7-1-4(2-7)11-3-7/h4-5H,1-3,8H2,(H,9,10)/t4-,5-,7-/m1/s1"
N[C@@H](c1c(SC)ncc(C(F)(F)F)c1)C(=O)O,2WV,2WV,"InChI=1S/C9H9F3N2O2S/c1-17-7-5(6(13)8(15)16)2-4(3-14-7)9(10,11)12/h2-3,6H,13H2,1H3,(H,15,16)/t6-/m0/s1"
N[C@@H](C1(C)CC(F)(F)C1)C(=O)O,T5P,T5P,"InChI=1S/C7H11F2NO2/c1-6(4(10)5(11)12)2-7(8,9)3-6/h4H,2-3,10H2,1H3,(H,11,12)/t4-/m1/s1"
N[C@@H](C[C@@H]1C[C@H]2COC[C@@H](C1)C2(F)F)C(=O)O,WBA,WBA,"InChI=1S/C11H17F2NO3/c12-11(13)7-1-6(3-9(14)10(15)16)2-8(11)5-17-4-7/h6-9H,1-5,14H2,(H,15,16)/t6-,7+,8-,9-/m0/s1"
N[C@@H](C[C@H]1CCCN(C(=O)NCc2cscn2)C1)C(=O)O,YCQ,YCQ,"InChI=1S/C13H20N4O3S/c14-11(12(18)19)4-9-2-1-3-17(6-9)13(20)15-5-10-7-21-8-16-10/h7-9,11H,1-6,14H2,(H,15,20)(H,18,19)/t9-,11+/m1/s1"
